Country,Code,Year,DeathsPer100000
Afghanistan,AFG,2019,13.1
African Region (WHO),,2019,7.25
Albania,ALB,2019,2.09
Algeria,DZA,2019,1.1
American Samoa,ASM,2019,5.95
Andorra,AND,2019,0.57
Angola,AGO,2019,3.23
Antigua and Barbuda,ATG,2019,5.11
Argentina,ARG,2019,6.39
Armenia,ARM,2019,5.06
Australia,AUS,2019,1.31
Austria,AUT,2019,0.79
Azerbaijan,AZE,2019,3.62
Bahamas,BHS,2019,29.4
Bahrain,BHR,2019,1.87
Bangladesh,BGD,2019,2.48
Barbados,BRB,2019,10.96
Belarus,BLR,2019,8.17
Belgium,BEL,2019,1.43
Belize,BLZ,2019,27.76
Benin,BEN,2019,7.09
Bermuda,BMU,2019,3
Bhutan,BTN,2019,0.99
Bolivia,BOL,2019,5.12
Bosnia and Herzegovina,BIH,2019,2.55
Botswana,BWA,2019,20.07
Brazil,BRA,2019,30.42
Brunei,BRN,2019,1.39
Bulgaria,BGR,2019,2.63
Burkina Faso,BFA,2019,9.43
Burundi,BDI,2019,1.05
Cambodia,KHM,2019,2.98
Cameroon,CMR,2019,3.15
Canada,CAN,2019,1.51
Cape Verde,CPV,2019,14.4
Central African Republic,CAF,2019,7.06
Chad,TCD,2019,7.53
Chile,CHL,2019,4.36
China,CHN,2019,0.84
Colombia,COL,2019,35.71
Comoros,COM,2019,9.4
Congo,COG,2019,4.66
Cook Islands,COK,2019,1.15
Costa Rica,CRI,2019,10.66
Cote d'Ivoire,CIV,2019,8.82
Croatia,HRV,2019,1.11
Cuba,CUB,2019,5.65
Cyprus,CYP,2019,1.58
Czechia,CZE,2019,0.99
Democratic Republic of Congo,COD,2019,3.3
Denmark,DNK,2019,0.75
Djibouti,DJI,2019,9.08
Dominica,DMA,2019,11.25
Dominican Republic,DOM,2019,18.32
East Asia & Pacific (WB),,2019,1.78
Eastern Mediterranean Region (WHO),,2019,4.43
Ecuador,ECU,2019,10.84
Egypt,EGY,2019,0.52
El Salvador,SLV,2019,48.71
England,,2019,0.46
Equatorial Guinea,GNQ,2019,3.84
Eritrea,ERI,2019,11.15
Estonia,EST,2019,4.45
Eswatini,SWZ,2019,20.56
Ethiopia,ETH,2019,6.67
Europe & Central Asia (WB),,2019,4.35
European Region (WHO),,2019,4.32
Fiji,FJI,2019,3.88
Finland,FIN,2019,1.49
France,FRA,2019,0.81
G20,,2019,4.61
Gabon,GAB,2019,4.36
Gambia,GMB,2019,0.69
Georgia,GEO,2019,3.41
Germany,DEU,2019,0.73
Ghana,GHA,2019,2.45
Greece,GRC,2019,1.26
Greenland,GRL,2019,8.91
Grenada,GRD,2019,6.11
Guam,GUM,2019,3.23
Guatemala,GTM,2019,35.4
Guinea,GIN,2019,7.8
Guinea-Bissau,GNB,2019,9.59
Guyana,GUY,2019,23.22
Haiti,HTI,2019,28.38
Honduras,HND,2019,33.84
Hungary,HUN,2019,1.49
Iceland,ISL,2019,0.68
India,IND,2019,2.94
Indonesia,IDN,2019,0.87
Iran,IRN,2019,2.62
Iraq,IRQ,2019,11.43
Ireland,IRL,2019,0.64
Israel,ISR,2019,1.98
Italy,ITA,2019,0.81
Jamaica,JAM,2019,14.95
Japan,JPN,2019,0.56
Jordan,JOR,2019,3.03
Kazakhstan,KAZ,2019,9.53
Kenya,KEN,2019,9.17
Kiribati,KIR,2019,3.82
Kuwait,KWT,2019,0.94
Kyrgyzstan,KGZ,2019,4.54
Laos,LAO,2019,7.82
Latin America & Caribbean (WB),,2019,23.92
Latvia,LVA,2019,7.08
Lebanon,LBN,2019,4.18
Lesotho,LSO,2019,35.95
Liberia,LBR,2019,2.66
Libya,LBY,2019,1.92
Lithuania,LTU,2019,5.38
Luxembourg,LUX,2019,1.1
