Country,Code,Year,Unemployment_Rate
Argentina,ARG,1992,6.360000134
Argentina,ARG,1993,10.10000038
Argentina,ARG,1994,11.76000023
Argentina,ARG,1995,18.79999924
Argentina,ARG,1996,17.11000061
Argentina,ARG,1997,14.81999969
Argentina,ARG,1998,12.64999962
Argentina,ARG,1999,14.05000019
Argentina,ARG,2000,15
Argentina,ARG,2001,17.31999969
Argentina,ARG,2002,19.59000015
Argentina,ARG,2003,15.35999966
Argentina,ARG,2004,13.52000046
Argentina,ARG,2005,11.51000023
Argentina,ARG,2006,10.07999992
Argentina,ARG,2007,8.470000267
Argentina,ARG,2008,7.840000153
Argentina,ARG,2009,8.649999619
Argentina,ARG,2010,7.710000038
Argentina,ARG,2011,7.179999828
Argentina,ARG,2012,7.21999979
Argentina,ARG,2013,7.099999905
Argentina,ARG,2014,7.269999981
Argentina,ARG,2015,7.520999908
Argentina,ARG,2016,8.111000061
Argentina,ARG,2017,8.350000381
Argentina,ARG,2018,9.220000267
Argentina,ARG,2019,9.840000153
Bolivia,BOL,1992,3.25999999
Bolivia,BOL,1993,3.084000111
Bolivia,BOL,1994,3.079999924
Bolivia,BOL,1995,2.753000021
Bolivia,BOL,1996,2.443000078
Bolivia,BOL,1997,2.079999924
Bolivia,BOL,1998,2.128999949
Bolivia,BOL,1999,2.443000078
Bolivia,BOL,2000,2.378000021
Bolivia,BOL,2001,2.484999895
Bolivia,BOL,2002,2.493999958
Bolivia,BOL,2003,2.536999941
Bolivia,BOL,2004,2.503000021
Bolivia,BOL,2005,2.54399991
Bolivia,BOL,2006,2.575999975
Bolivia,BOL,2007,2.645999908
Bolivia,BOL,2008,2.599999905
Bolivia,BOL,2009,2.970000029
Bolivia,BOL,2010,2.614000082
Bolivia,BOL,2011,2.25
Bolivia,BOL,2012,2.069999933
Bolivia,BOL,2013,2.440000057
Bolivia,BOL,2014,2.019999981
Bolivia,BOL,2015,3.109999895
Bolivia,BOL,2016,3.5
Bolivia,BOL,2017,3.650000095
Bolivia,BOL,2018,3.519999981
Bolivia,BOL,2019,3.819999933
Brazil,BRA,1992,6.420000076
Brazil,BRA,1993,6.03000021
Brazil,BRA,1994,6.169000149
Brazil,BRA,1995,6.420000076
Brazil,BRA,1996,7.25
Brazil,BRA,1997,8.159999847
Brazil,BRA,1998,9.420000076
Brazil,BRA,1999,10.21000004
Brazil,BRA,2000,9.56099987
Brazil,BRA,2001,9.609999657
Brazil,BRA,2002,9.369999886
Brazil,BRA,2003,9.989999771
Brazil,BRA,2004,9.109999657
Brazil,BRA,2005,9.569999695
Brazil,BRA,2006,8.640000343
Brazil,BRA,2007,8.329999924
Brazil,BRA,2008,7.340000153
Brazil,BRA,2009,8.520000458
Brazil,BRA,2010,7.274000168
Brazil,BRA,2011,6.920000076
Brazil,BRA,2012,7.190000057
Brazil,BRA,2013,6.980000019
Brazil,BRA,2014,6.659999847
Brazil,BRA,2015,8.430000305
Brazil,BRA,2016,11.60000038
Brazil,BRA,2017,12.81999969
Brazil,BRA,2018,12.32999992
Brazil,BRA,2019,11.93000031
Chile,CHL,1992,4.349999905
Chile,CHL,1993,4.489999771
Chile,CHL,1994,5.869999886
Chile,CHL,1995,4.699999809
Chile,CHL,1996,7.409999847
Chile,CHL,1997,7.139999866
Chile,CHL,1998,7.309999943
Chile,CHL,1999,11.15999985
Chile,CHL,2000,10.48999977
Chile,CHL,2001,10.39000034
Chile,CHL,2002,10.17000008
Chile,CHL,2003,9.770000458
Chile,CHL,2004,10.15999985
Chile,CHL,2005,9.340000153
Chile,CHL,2006,9.020000458
Chile,CHL,2007,8.430000305
Chile,CHL,2008,9.289999962
Chile,CHL,2009,11.31000042
Chile,CHL,2010,8.420000076
Chile,CHL,2011,7.340000153
Chile,CHL,2012,6.659999847
Chile,CHL,2013,6.210000038
Chile,CHL,2014,6.659999847
Chile,CHL,2015,6.510000229
Chile,CHL,2016,6.739999771
Chile,CHL,2017,6.960000038
Chile,CHL,2018,7.230000019
Chile,CHL,2019,7.289999962
Colombia,COL,1992,9.43999958
Colombia,COL,1993,7.800000191
Colombia,COL,1994,8.25
Colombia,COL,1995,8.720000267
Colombia,COL,1996,11.81000042
Colombia,COL,1997,12.14000034
Colombia,COL,1998,15
Colombia,COL,1999,20.05999947
Colombia,COL,2000,20.52000046
Colombia,COL,2001,15.03999996
Colombia,COL,2002,14.47999954
Colombia,COL,2003,13.22000027
Colombia,COL,2004,12.73999977
Colombia,COL,2005,11.06000042
Colombia,COL,2006,11.28999996
Colombia,COL,2007,10.25
Colombia,COL,2008,10.48999977
Colombia,COL,2009,11.28999996
Colombia,COL,2010,10.97999954
Colombia,COL,2011,10.10999966
Colombia,COL,2012,9.739999771
Colombia,COL,2013,9.050000191
Colombia,COL,2014,8.569999695
Colombia,COL,2015,8.300000191
Colombia,COL,2016,8.68999958
Colombia,COL,2017,8.869999886
Colombia,COL,2018,9.109999657
Colombia,COL,2019,9.960000038
Ecuador,ECU,1992,4.52699995
Ecuador,ECU,1993,4.559999943
Ecuador,ECU,1994,4.44299984
Ecuador,ECU,1995,4.592000008
Ecuador,ECU,1996,4.651000023
Ecuador,ECU,1997,4.513000011
Ecuador,ECU,1998,4.605000019
Ecuador,ECU,1999,5.184000015
Ecuador,ECU,2000,4.800000191
Ecuador,ECU,2001,4.25
Ecuador,ECU,2002,4.897999763
Ecuador,ECU,2003,5.659999847
Ecuador,ECU,2004,5
Ecuador,ECU,2005,3.779999971
Ecuador,ECU,2006,3.549999952
Ecuador,ECU,2007,3.140000105
Ecuador,ECU,2008,3.920000076
Ecuador,ECU,2009,4.610000134
Ecuador,ECU,2010,4.090000153
Ecuador,ECU,2011,3.460000038
Ecuador,ECU,2012,3.230000019
Ecuador,ECU,2013,3.079999924
Ecuador,ECU,2014,3.480000019
Ecuador,ECU,2015,3.619999886
Ecuador,ECU,2016,4.599999905
Ecuador,ECU,2017,3.839999914
Ecuador,ECU,2018,3.529999971
Ecuador,ECU,2019,3.809999943
Guyana,GUY,1992,11.89999962
Guyana,GUY,1993,11.88199997
Guyana,GUY,1994,11.86499977
Guyana,GUY,1995,11.87899971
Guyana,GUY,1996,11.8409996
Guyana,GUY,1997,11.8409996
Guyana,GUY,1998,11.88899994
Guyana,GUY,1999,11.8380003
Guyana,GUY,2000,11.8579998
Guyana,GUY,2001,11.81499958
Guyana,GUY,2002,11.81000042
Guyana,GUY,2003,11.5539999
Guyana,GUY,2004,11.2670002
Guyana,GUY,2005,11.02299976
Guyana,GUY,2006,10.69999981
Guyana,GUY,2007,10.95699978
Guyana,GUY,2008,11.27099991
Guyana,GUY,2009,11.52600002
Guyana,GUY,2010,11.79800034
Guyana,GUY,2011,12.05700016
Guyana,GUY,2012,12.33500004
Guyana,GUY,2013,12.62800026
Guyana,GUY,2014,12.92399979
Guyana,GUY,2015,13.21199989
Guyana,GUY,2016,13.46399975
Guyana,GUY,2017,13.74600029
Guyana,GUY,2018,14.02000046
Guyana,GUY,2019,13.99199963
Paraguay,PRY,1992,4.980000019
Paraguay,PRY,1993,5.059999943
Paraguay,PRY,1994,4.409999847
Paraguay,PRY,1995,3.400000095
Paraguay,PRY,1996,8.149999619
Paraguay,PRY,1997,5.360000134
Paraguay,PRY,1998,4.420000076
Paraguay,PRY,1999,5.340000153
Paraguay,PRY,2000,7.610000134
Paraguay,PRY,2001,6.210000038
Paraguay,PRY,2002,9.390000343
Paraguay,PRY,2003,6.809999943
Paraguay,PRY,2004,6.510000229
Paraguay,PRY,2005,4.820000172
Paraguay,PRY,2006,5.28000021
Paraguay,PRY,2007,4.710000038
Paraguay,PRY,2008,4.420000076
Paraguay,PRY,2009,5.460000038
Paraguay,PRY,2010,4.570000172
Paraguay,PRY,2011,4.670000076
Paraguay,PRY,2012,4.090000153
Paraguay,PRY,2013,4.380000114
Paraguay,PRY,2014,5.03000021
Paraguay,PRY,2015,4.559999943
Paraguay,PRY,2016,5.25
Paraguay,PRY,2017,4.610000134
Paraguay,PRY,2018,6.21999979
Paraguay,PRY,2019,6.590000153
Peru,PER,1992,4.721000195
Peru,PER,1993,4.500999928
Peru,PER,1994,4.248000145
Peru,PER,1995,4.480000019
Peru,PER,1996,4.717999935
Peru,PER,1997,4.593999863
Peru,PER,1998,4.947000027
Peru,PER,1999,4.897999763
Peru,PER,2000,4.883999825
Peru,PER,2001,5.026000023
Peru,PER,2002,4.840000153
Peru,PER,2003,4.150000095
Peru,PER,2004,4.699999809
Peru,PER,2005,4.880000114
Peru,PER,2006,4.179999828
Peru,PER,2007,4.039999962
Peru,PER,2008,4.039999962
Peru,PER,2009,3.980000019
Peru,PER,2010,3.579999924
Peru,PER,2011,3.480000019
Peru,PER,2012,3.24000001
Peru,PER,2013,3.569999933
Peru,PER,2014,3.210000038
Peru,PER,2015,3.269999981
Peru,PER,2016,3.74000001
Peru,PER,2017,3.690000057
Peru,PER,2018,3.49000001
Peru,PER,2019,3.380000114
Suriname,SUR,1992,17.28000069
Suriname,SUR,1993,15.64000034
Suriname,SUR,1994,12.69999981
Suriname,SUR,1995,8.390000343
Suriname,SUR,1996,10.88000011
Suriname,SUR,1997,10.56000042
Suriname,SUR,1998,10.63000011
Suriname,SUR,1999,13.60000038
Suriname,SUR,2000,12.73799992
Suriname,SUR,2001,11.9119997
Suriname,SUR,2002,11.15299988
Suriname,SUR,2003,10.30700016
Suriname,SUR,2004,9.489999771
Suriname,SUR,2005,9.383000374
Suriname,SUR,2006,9.192000389
Suriname,SUR,2007,9.031999588
Suriname,SUR,2008,8.875
Suriname,SUR,2009,8.720000267
Suriname,SUR,2010,7.150000095
